//Index	Type	Map	SX	SY	EX	EY	Target	Dir	Level	MaxLevel
1	1	0	121	232	123	233	2	0	20	400
2	2	1	107	247	110	247	0	1	20	400
3	1	1	108	248	109	248	4	0	0	400
4	2	0	121	231	123	231	0	1	0	400
5	1	1	239	149	239	150	6	0	20	400
6	2	1	231	126	234	127	0	1	20	400
7	1	1	232	127	233	128	8	0	20	400
8	2	1	240	148	241	151	0	3	20	400
9	1	1	2	17	2	18	10	0	20	400
10	2	1	3	83	4	86	0	3	20	400
11	1	1	2	84	2	85	12	0	20	400
12	2	1	3	16	6	17	0	3	20	400
13	1	1	5	34	6	34	14	0	20	400
14	2	1	29	125	30	126	0	1	20	400
15	1	1	29	127	30	127	16	0	20	400
16	2	1	5	32	7	33	0	1	20	400
17	0	0	133	118	151	135	0	0	0	400
18	1	0	5	38	6	41	19	0	15	400
19	2	2	242	34	243	37	0	7	15	400
20	1	2	244	34	245	37	21	0	0	400
21	2	0	7	38	8	41	0	3	0	400
22	0	2	197	35	218	50	0	0	15	400
23	1	0	213	246	217	247	24	0	10	400
24	2	3	148	5	155	6	0	5	10	400
25	1	3	148	3	155	4	26	0	10	400
26	2	0	213	244	217	245	0	1	10	400
27	0	3	171	108	177	117	0	0	0	400
28	1	2	2	248	3	249	29	0	40	400
29	2	4	162	2	166	3	0	5	40	400
30	1	4	190	6	191	8	31	0	40	400
31	2	4	241	237	244	238	0	1	40	400
32	1	4	166	163	167	166	33	0	40	400
33	2	4	86	166	87	168	0	3	40	400
34	1	4	132	245	135	246	35	0	50	400
35	2	4	87	86	88	89	0	3	50	400
36	1	4	132	135	135	136	37	0	50	400
37	2	4	128	53	131	54	0	1	50	400
38	1	4	131	15	132	18	39	0	50	400
39	2	4	52	53	55	54	0	1	50	400
40	1	4	6	5	7	8	41	0	50	400
41	2	4	8	85	9	87	0	1	50	400
42	0	4	203	70	213	81	0	0	40	400
43	1	4	162	0	166	1	44	0	15	400
44	2	2	2	246	3	247	0	2	15	400
45	1	3	242	240	245	243	46	0	60	220
46	2	7	14	12	15	13	0	3	60	220
47	1	7	9	9	11	12	48	0	60	400
48	2	3	240	240	241	243	0	7	60	400
49	0	7	15	11	27	23	0	0	60	400
50	0	6	72	140	73	181	0	0	0	400
51	0	6	59	153	59	153	0	0	0	400
52	0	6	59	164	59	165	0	0	0	400
53	1	7	14	225	15	230	54	0	130	400
54	2	8	248	40	251	44	0	7	0	400
55	1	8	246	40	247	44	56	0	130	220
56	2	7	16	225	17	230	0	3	0	220
57	0	8	189	63	205	72	0	0	60	400
58	0	9	133	91	141	99	0	0	10	400
59	0	9	135	162	142	170	0	0	10	400
60	0	9	62	150	70	158	0	0	10	400
61	0	9	66	84	74	92	0	0	10	400
62	1	4	17	250	19	250	63	0	160	400
63	2	10	14	13	16	13	0	5	160	400
64	1	10	14	12	16	12	65	0	50	400
65	2	4	17	249	19	249	0	1	50	400
66	0	11	12	5	14	10	0	0	0	400
67	0	12	12	5	14	10	0	0	0	400
68	0	13	12	5	14	10	0	0	0	400
69	0	14	12	5	14	10	0	0	0	400
70	0	15	12	5	14	10	0	0	0	400
71	0	16	12	5	14	10	0	0	0	400
72	0	2	23	27	27	24	0	0	15	400
73	0	2	224	231	227	227	0	0	15	400
74	0	2	69	181	72	178	0	0	15	400
75	0	7	225	53	228	50	0	0	60	400
76	0	7	62	163	68	157	0	0	60	400
77	0	8	96	143	100	146	0	0	130	400
80	0	17	12	5	14	10	0	0	0	400
82	0	18	31	88	36	95	0	0	0	400
83	0	19	31	88	36	95	0	0	0	400
84	0	20	31	88	36	95	0	0	0	400
85	0	21	31	88	36	95	0	0	0	400
86	0	22	31	88	36	95	0	0	0	400
87	0	23	31	88	36	95	0	0	0	400
88	0	24	10	16	17	22	0	0	0	400
89	0	25	10	16	17	22	0	0	0	400
90	0	26	10	16	17	22	0	0	0	400
91	0	27	10	16	17	22	0	0	0	400
92	0	28	10	16	17	22	0	0	0	400
93	0	29	10	16	17	22	0	0	0	400
94	0	30	88	31	102	46	0	0	0	400
95	0	31	60	10	69	19	0	0	0	400
96	1	30	93	242	95	243	97	0	0	400
97	2	30	164	198	187	209	0	0	0	400
98	1	30	160	203	161	205	99	0	0	400
99	2	30	90	236	99	239	0	0	0	400
100	0	30	39	14	142	50	0	0	0	400
101	0	30	84	180	100	222	0	0	0	400
102	1	0	239	14	240	15	103	0	10	400
103	2	30	29	42	30	37	0	0	10	400
104	0	30	87	209	100	232	0	0	0	400
105	0	30	72	10	104	199	0	0	0	400
106	0	30	131	94	138	92	0	0	0	400
107	1	30	28	40	28	41	108	0	0	400
108	2	0	235	13	239	13	0	0	0	400
109	1	31	59	7	63	8	110	0	0	400
110	2	30	131	94	138	92	0	0	0	400
111	0	32	133	91	141	99	0	0	10	400
112	0	32	135	162	142	170	0	0	10	400
113	2	33	76	9	78	16	0	0	10	400
114	2	34	231	37	234	45	0	0	10	400
116	0	36	10	16	17	22	0	0	0	400
117	1	30	161	37	165	45	114	0	10	400
118	0	34	229	37	239	46	0	0	10	400
119	0	33	82	8	87	14	0	0	130	400
120	1	3	220	30	226	30	113	0	130	400
121	1	33	74	9	74	13	122	0	10	400
122	2	3	220	31	226	34	0	0	10	400
123	1	34	239	40	240	44	124	0	10	400
124	2	30	155	37	158	43	0	0	10	400
125	1	8	6	199	6	201	126	0	150	350
126	2	37	17	219	21	220	0	0	150	350
127	1	37	17	220	19	222	128	0	130	400
128	2	8	7	199	7	201	0	0	130	400
129	1	37	89	89	89	92	130	0	220	400
130	2	38	70	104	70	107	0	0	220	400
131	1	38	69	104	69	107	132	0	150	350
132	2	37	85	89	86	92	0	0	150	350
133	0	39	196	56	201	57	0	0	220	400
134	0	39	78	93	82	95	0	0	220	400
135	0	39	78	93	82	95	0	0	220	400
136	0	38	137	162	143	163	0	0	220	400
137	0	38	71	104	72	107	0	0	220	400
138	0	37	19	217	21	219	0	0	160	400
139	0	38	71	104	72	107	0	0	230	400
140	0	33	186	173	190	177	0	0	130	400
141	0	37	205	36	208	41	0	0	160	400
142	0	45	98	128	108	137	0	0	0	400
143	0	46	98	128	108	137	0	0	0	400
144	0	47	98	128	108	137	0	0	0	400
145	0	48	98	128	108	137	0	0	0	400
146	0	49	98	128	108	137	0	0	0	400
147	0	50	98	128	108	137	0	0	0	400
148	0	45	141	41	146	45	0	0	0	400
149	0	46	141	41	146	45	0	0	0	400
150	0	47	141	41	146	45	0	0	0	400
151	0	48	141	41	146	45	0	0	0	400
152	0	49	141	41	146	45	0	0	0	400
153	0	50	141	41	146	45	0	0	0	400
154	0	45	194	124	198	127	0	0	0	400
155	0	46	194	124	198	127	0	0	0	400
156	0	47	194	124	198	127	0	0	0	400
157	0	48	194	124	198	127	0	0	0	400
158	0	49	194	124	198	127	0	0	0	400
159	0	50	194	124	198	127	0	0	0	400
256	0	41	29	79	31	82	0	0	0	400
257	0	42	104	178	107	181	0	0	0	400
258	0	34	227	41	229	43	0	0	0	400
259	1	2	161	245	166	246	260	0	15	400
260	2	51	26	29	27	30	0	0	15	400
261	1	51	24	29	25	30	262	0	15	400
262	2	2	161	241	163	242	0	0	15	400
263	1	7	13	19	14	20	264	0	10	400
264	2	51	243	149	244	150	0	0	10	400
265	1	51	247	149	248	150	266	0	60	220
266	2	7	16	19	17	20	0	0	60	220
267	0	51	51	224	54	227	0	0	0	400
268	0	51	99	55	100	57	0	0	10	400
269	0	51	191	148	193	150	0	0	10	400
270	0	32	62	150	70	158	0	0	10	400
271	0	52	12	5	14	10	0	0	0	400
272	0	53	31	88	36	95	0	0	0	400
273	0	56	135	105	142	111	0	0	400	400
274	1	56	139	125	139	126	275	0	400	400
275	2	56	189	190	191	193	0	0	400	400
276	1	56	185	187	186	188	273	0	400	400
277	1	56	149	109	150	109	278	0	400	400
278	2	56	204	10	206	14	0	0	400	400
279	1	56	197	12	197	14	273	0	400	400
280	1	56	139	95	140	95	281	0	400	400
281	2	56	65	47	67	48	0	0	400	400
282	1	56	68	52	69	53	273	0	400	400
283	1	56	124	109	124	110	284	0	400	400
284	2	56	62	174	63	179	0	0	400	400
285	1	56	57	176	57	177	273	0	400	400
286	1	2	52	92	54	92	287	0	270	400
287	0	57	222	211	225	212	0	0	270	400
288	1	57	223	215	225	215	289	0	270	400
289	0	2	52	88	54	89	0	0	270	400
290	1	57	171	23	171	25	291	0	270	400
291	0	58	160	24	161	27	0	0	270	400
292	1	58	167	24	167	25	293	0	270	400
293	0	57	174	23	175	25	0	0	270	400
294	0	63	120	129	126	134	0	0	20	400
295	0	64	101	64	0	0	0	0	30	400
296	0	64	101	75	0	0	0	0	30	400
297	0	64	101	113	0	0	0	0	30	400
298	0	64	101	124	0	0	0	0	30	400
299	0	64	154	64	0	0	0	0	30	400
300	0	64	154	75	0	0	0	0	30	400
301	0	64	154	113	0	0	0	0	30	400
302	0	64	154	124	0	0	0	0	30	400
303	0	64	100	70	0	0	0	0	30	400
304	0	64	100	120	0	0	0	0	30	400
305	0	64	150	70	0	0	0	0	30	400
306	0	64	150	120	0	0	0	0	30	400
307	0	69	231	15	233	17	0	0	0	400
308	1	69	209	80	211	82	309	0	0	400
309	0	69	202	24	203	27	0	0	0	400
310	1	69	153	60	155	62	311	0	0	400
311	0	69	179	65	181	67	0	0	0	400
312	0	70	86	63	87	66	0	0	0	400
313	1	70	10	64	12	66	314	0	0	400
314	0	70	35	84	38	85	0	0	0	400
315	1	70	54	161	56	163	316	0	0	400
316	0	70	121	110	123	112	0	0	0	400
317	0	71	154	187	155	189	0	0	0	400
318	1	71	82	194	84	196	319	0	0	400
319	0	71	222	121	224	123	0	0	0	400
320	1	71	222	201	224	203	321	0	0	400
321	0	71	165	206	168	207	0	0	0	400
322	0	72	93	66	94	69	0	0	0	400
323	1	72	30	95	32	97	324	0	0	400
324	0	72	32	162	34	164	0	0	0	400
325	1	72	68	160	70	162	326	0	0	400
326	0	72	145	155	147	157	0	0	0	400
327	1	72	223	165	225	167	328	0	0	400
328	0	72	241	23	243	25	0	0	0	400
329	0	65	193	26	200	32	0	0	0	400
330	0	66	133	68	139	74	0	0	0	400
331	0	67	106	58	111	62	0	0	0	400
332	0	68	90	10	97	17	0	0	0	400
333	0	79	126	142	129	148	0	0	0	400
334	0	37	66	183	74	191	0	0	160	400
335	0	80	124	123	127	125	0	0	170	400
336	1	33	237	167	240	168	337	0	160	400
337	2	80	118	44	119	46	0	3	160	400
338	1	80	116	44	117	47	339	0	160	400
339	2	33	237	166	240	166	0	1	160	400
340	1	80	186	210	190	212	341	0	160	400
341	2	81	162	12	164	14	0	5	160	400
342	1	81	161	8	165	9	343	0	160	400
343	2	80	188	207	189	208	0	1	160	400
344	0	81	162	16	163	17	0	5	160	400
345	0	82	60	66	63	69	0	0	0	400
346	0	82	69	195	72	198	0	0	0	400
347	0	82	196	187	199	190	0	0	0	400
348	0	82	187	61	190	64	0	0	0	400
349	0	83	60	66	63	69	0	0	0	400
350	0	83	69	195	72	198	0	0	0	400
351	0	83	196	187	199	190	0	0	0	400
352	0	83	187	61	190	64	0	0	0	400
353	0	84	60	66	63	69	0	0	0	400
354	0	84	69	195	72	198	0	0	0	400
355	0	84	196	187	199	190	0	0	0	400
356	0	84	187	61	190	64	0	0	0	400
357	0	85	60	66	63	69	0	0	0	400
358	0	85	69	195	72	198	0	0	0	400
359	0	85	196	187	199	190	0	0	0	400
360	0	85	187	61	190	64	0	0	0	400
361	0	86	60	66	63	69	0	0	0	400
362	0	86	69	195	72	198	0	0	0	400
363	0	86	196	187	199	190	0	0	0	400
364	0	86	187	61	190	64	0	0	0	400
365	0	87	60	66	63	69	0	0	0	400
366	0	87	69	195	72	198	0	0	0	400
367	0	87	196	187	199	190	0	0	0	400
368	0	87	187	61	190	64	0	0	0	400
369	0	88	60	66	63	69	0	0	0	400
370	0	88	69	195	72	198	0	0	0	400
371	0	88	196	187	199	190	0	0	0	400
372	0	88	187	61	190	64	0	0	0	400
373	0	89	60	66	63	69	0	0	0	400
374	0	89	69	195	72	198	0	0	0	400
375	0	89	196	187	199	190	0	0	0	400
376	0	89	187	61	190	64	0	0	0	400
377	0	90	60	66	63	69	0	0	0	400
378	0	90	69	195	72	198	0	0	0	400
379	0	90	196	187	199	190	0	0	0	400
